Wall time,Step,Value
1683118692.9526072,620,-1000.0667724609375
1683118696.7848945,622,-1000.1968994140625
1683118702.6388113,625,-1000.238037109375
1683118710.5196195,629,-1000.3560180664062
1683118720.5166616,634,-1000.0000610351562
1683118734.3703322,641,-1000.1268920898438
1683118736.4267666,642,-1000.2208862304688
1683118740.261633,644,-1000.4387817382812
1683118742.328717,645,-1000.1266479492188
1683118744.3668425,646,-1000.1323852539062
1683118746.2554522,647,-1000.0851440429688
1683118748.291907,648,-1000.0258178710938
1683118750.1376917,649,-1000.3118896484375
1683118755.9885273,652,-1000.0772094726562
1683118764.0011377,656,-1000.0239868164062
1683118765.915184,657,-1000.2130126953125
1683118773.9032843,661,-1000.2281494140625
1683118779.6746895,664,-1000.3298950195312
1683118783.6154158,666,-1000.3642578125
1683118785.4419649,667,-1000.3505249023438
1683118787.377826,668,-1000.0714721679688
1683118793.2384796,671,-1000.0812377929688
1683118795.1878774,672,-1000.405029296875
1683118797.1496813,673,-1000.0715942382812
1683118799.2727635,674,-1000.2259521484375
1683118801.2464204,675,-1000.4016723632812
1683118805.364834,677,-1000.0169677734375
1683118807.284726,678,-1000.0244750976562
1683118809.1965837,679,-1000.4318237304688
1683118813.163268,681,-1000.0113525390625
1683118815.1831594,682,-1000.155029296875
1683118817.0909033,683,-1000.41015625
1683118819.001248,684,-1000.0751342773438
1683118821.0161958,685,-1000.2654418945312
1683118823.014141,686,-1000.3997192382812
1683118826.8771605,688,-1000.317138671875
1683118828.7311628,689,-1000.049072265625
1683118842.5510924,696,-1000.3984985351562
1683118848.3307457,699,-1000.1505126953125
1683118850.2724085,700,-1000.0344848632812
1683118852.313145,701,-1000.0911865234375
1683118856.1252263,703,-1000.1548461914062
1683118862.2347395,706,-1000.379638671875
1683118866.2408214,708,-1000.3397216796875
1683118870.2256749,710,-1000.1533203125
1683118877.794549,714,-1000.442626953125
1683118885.810816,718,-1000.2245483398438
1683118887.7187438,719,-1000.099853515625
1683118891.7520883,721,-1000.080810546875
1683118893.9085894,722,-1000.3489379882812
1683118895.7926052,723,-1000.4147338867188
1683118897.737155,724,-1000.2759399414062
1683118899.7612598,725,-1000.3125
1683118909.3598425,730,-1000.2702026367188
1683118921.2025502,736,-1000.4623413085938
1683118925.1455603,738,-1000.2307739257812
1683118927.1596372,739,-1000.324951171875
1683118929.0718002,740,-1000.3629760742188
1683118931.1351085,741,-1000.08349609375
1683118935.1108549,743,-1000.4315185546875
1683118941.225842,746,-1000.0294189453125
1683118943.1765478,747,-1000.2947387695312
1683118949.0123315,750,-1000.2423706054688
1683118950.8793652,751,-1000.4334716796875
1683118953.127666,752,-1000.3109130859375
1683118957.1508713,754,-1000.2352905273438
1683118961.1561198,756,-1000.3994750976562
1683118973.3340673,762,-1000.2755737304688
1683118979.126311,765,-1000.3375854492188
1683118981.0698657,766,-1000.2815551757812
1683118987.1053996,769,-1000.4406127929688
1683118989.1615977,770,-1000.2393798828125
1683118991.0847158,771,-1000.0196533203125
1683118994.9973502,773,-1000.0645751953125
1683118996.961263,774,-1000.4159545898438
1683118998.9284778,775,-1000.0977172851562
1683119008.4977877,780,-1000.3435668945312
1683119016.7613387,784,-1000.348388671875
1683119018.6480932,785,-1000.3436279296875
1683119022.6608713,787,-1000.4183959960938
1683119026.6645362,789,-1000.3139038085938
1683119030.5473382,791,-1000.0462646484375
1683119032.5074675,792,-1000.201416015625
1683119034.419335,793,-1000.3095092773438
1683119036.4194047,794,-1000.1630859375
1683119038.3034377,795,-1000.0526733398438
1683119040.3575985,796,-1000.177978515625
1683119044.573827,798,-1000.4092407226562
1683119048.697233,800,-1000.330322265625
1683119052.651291,802,-1000.4454956054688
1683119058.7392883,805,-1000.1122436523438
1683119062.7508104,807,-1000.3303833007812
1683119064.7582622,808,-1000.220947265625
1683119066.7375443,809,-1000.0996704101562
1683119074.903125,813,-1000.1033935546875
1683119078.9079442,815,-1000.2839965820312
1683119080.9711576,816,-1000.279541015625
1683119085.0260813,818,-1000.4437866210938
1683119091.1743076,821,-1000.2899780273438
1683119099.2547443,825,-1000.3881225585938
1683119105.4326894,828,-1000.4517822265625
1683119111.427594,831,-1000.2781372070312
1683119113.4299467,832,-1000.41552734375
1683119117.3603635,834,-1000.2947998046875
1683119121.4714456,836,-1000.178955078125
1683119125.5182893,838,-1000.44677734375
1683119135.6766973,843,-1000.3286743164062
1683119140.1806436,845,-1000.1812744140625
1683119142.242107,846,-1000.2930297851562
1683119144.072072,847,-1000.35107421875
1683119145.9352689,848,-1000.0394287109375
1683119152.0314221,851,-1000.1629638671875
1683119164.1113684,857,-1000.1962890625
1683119168.1024785,859,-1000.1119384765625
1683119170.113537,860,-1000.4010620117188
1683119171.9297767,861,-1000.221435546875
1683119175.7760217,863,-1000.3591918945312
1683119183.571335,867,-1000.0250244140625
1683119187.4741096,869,-1000.2649536132812
1683119189.4754956,870,-1000.1670532226562
1683119197.5045173,874,-1000.41015625
1683119199.5391688,875,-1000.39208984375
1683119201.5409803,876,-1000.0341186523438
1683119203.5353951,877,-1000.236328125
1683119209.7300656,880,-1000.3585205078125
1683119211.6796885,881,-1000.0462036132812
1683119213.6025302,882,-1000.3617553710938
1683119217.6252115,884,-1000.3229370117188
1683119223.8538156,887,-1000.2536010742188
1683119227.9765565,889,-1000.2454833984375
1683119229.8480048,890,-1000.064453125
1683119234.0006258,892,-1000.0935668945312
1683119236.1289833,893,-1000.259765625
1683119242.324238,896,-1000.2103881835938
1683119248.4464114,899,-1000.1651000976562
1683119250.760503,900,-1000.2254638671875
1683119265.5446494,907,-1000.356201171875
1683119267.717126,908,-1000.3338012695312
1683119269.9595897,909,-1000.0183715820312
1683119272.0347393,910,-1000.3035278320312
1683119274.2558568,911,-1000.3684692382812
1683119276.3326359,912,-1000.02587890625
1683119278.4600687,913,-1000.3358154296875
1683119282.7723725,915,-1000.011474609375
1683119285.0543315,916,-1000.2459716796875
1683119287.034866,917,-1000.05712890625
1683119293.233666,920,-1000.2049560546875
1683119295.4828727,921,-1000.2319946289062
1683119297.5199304,922,-1000.0497436523438
1683119299.7268312,923,-1000.0101318359375
1683119303.903159,925,-1000.05712890625
1683119317.3230302,931,-1000.1260375976562
1683119319.4635038,932,-1000.2214965820312
1683119325.9363186,935,-1000.3609008789062
1683119341.0479698,942,-1000.2615966796875
1683119348.0503411,945,-1000.0095825195312
1683119363.4609244,952,-1000.0775756835938
1683119365.6556344,953,-1000.26904296875
1683119368.150366,954,-1000.1609497070312
1683119372.5622745,956,-1000.0897216796875
1683119374.8633058,957,-1000.2949829101562
1683119377.1765773,958,-1000.0765380859375
1683119383.8434877,961,-1000.0118408203125
1683119385.8778377,962,-1000.2264404296875
1683119390.3789263,964,-1000.2685546875
1683119394.6206937,966,-1000.238525390625
1683119396.9195764,967,-1000.3812255859375
1683119405.9756207,971,-1000.2401123046875
1683119407.9316185,972,-1000.16064453125
1683119416.7381032,976,-1000.0418090820312
1683119418.6140077,977,-1000.2456665039062
1683119420.853665,978,-1000.3155517578125
1683119422.9394705,979,-1000.2374267578125
1683119429.2872174,982,-1000.2952880859375
1683119431.558243,983,-1000.1925659179688
1683119433.8734694,984,-1000.041748046875
1683119440.2357783,987,-1000.2246704101562
1683119442.4830842,988,-1000.1344604492188
1683119459.84788,996,-1000.04248046875
1683119466.1923008,999,-1000.426025390625
1683119468.4931588,1000,-1000.3212280273438
1683119472.7866812,1002,-1000.3519287109375
1683119477.1161149,1004,-1000.147216796875
1683119479.2216125,1005,-1000.194091796875
1683119485.720231,1008,-1000.2813110351562
1683119487.8035834,1009,-1000.3444213867188
1683119492.038177,1011,-1000.421630859375
1683119494.3915863,1012,-1000.1619262695312
1683119496.3659475,1013,-1000.217529296875
1683119498.3016057,1014,-1000.2305297851562
1683119504.7020793,1017,-1000.0658569335938
1683119522.8958495,1025,-1000.296875
1683119527.6665282,1027,-1000.36279296875
1683119532.0013921,1029,-1000.365234375
1683119536.0653903,1031,-1000.2388916015625
1683119538.5638773,1032,-1000.34423828125
1683119540.7245347,1033,-1000.0286254882812
1683119544.9403758,1035,-1000.4385986328125
1683119549.7930202,1037,-1000.2267456054688
1683119552.0520284,1038,-1000.2796630859375
1683119554.391063,1039,-1000.3605346679688
1683119561.4448507,1042,-1000.1966552734375
1683119566.400093,1044,-1000.24658203125
1683119583.65819,1051,-1000.0323486328125
1683119585.7540038,1052,-1000.1868286132812
1683119592.5254157,1055,-1000.0341796875
1683119596.938779,1057,-1000.1039428710938
1683119612.8423557,1063,-1000.2236328125
1683119615.6996937,1064,-1000.0242309570312
1683119620.0095756,1066,-1000.0347900390625
1683119624.2116327,1068,-1000.0364379882812
1683119634.0951355,1072,-1000.019775390625
1683119639.3560421,1074,-1000.0989379882812
1683119643.983382,1076,-1000.1718139648438
1683119648.6217208,1078,-1000.10986328125
1683119653.01475,1080,-1000.2747802734375
1683119659.987409,1083,-1000.0601806640625
1683119662.1491966,1084,-1000.0484619140625
1683119664.202279,1085,-1000.2125854492188
1683119666.668724,1086,-1000.3850708007812
1683119681.2545414,1092,-1000.0116577148438
1683119685.027333,1093,-1000.03466796875
1683119702.7720704,1099,-1000.0830078125
1683119707.7615502,1101,-1000.008056640625
1683119713.0587068,1103,-1000.1200561523438
1683119715.7297764,1104,-1000.0289916992188
1683119718.0086925,1105,-1000.2747802734375
1683119738.8040402,1114,-1000.1903076171875
